label,value,slug ,optionType
"Aditya Institute of Technology and Management, Tekkali","aditya institute of technology and management, tekkali","aditya-institute-of-technology-and-management,-tekkali",institute
"Aditya Institute of Technology, Delhi","aditya institute of technology, delhi","aditya-institute-of-technology,-delhi",institute
"Aditya Kiran College of Applied Studies, Kannur","aditya kiran college of applied studies, kannur","aditya-kiran-college-of-applied-studies,-kannur",institute
"Aditya Polytechnic College, Beed","aditya polytechnic college, beed","aditya-polytechnic-college,-beed",institute
"Aditya Polytechnic, Lanja","aditya polytechnic, lanja","aditya-polytechnic,-lanja",institute
"Aditya Silver Oak Institute of Technology, Ahmedabad","aditya silver oak institute of technology, ahmedabad","aditya-silver-oak-institute-of-technology,-ahmedabad",institute
"ADJ Dharmambal Polytechnic College, Nagapattinam","adj dharmambal polytechnic college, nagapattinam","adj-dharmambal-polytechnic-college,-nagapattinam",institute
"Administrative Management College, Bangalore","administrative management college, bangalore","administrative-management-college,-bangalore",institute
"Administrative Staff College of India, Hyderabad","administrative staff college of india, hyderabad","administrative-staff-college-of-india,-hyderabad",institute
"ADRS Institute of Technology and Management, Aligarh","adrs institute of technology and management, aligarh","adrs-institute-of-technology-and-management,-aligarh",institute
"Adsul's Technical Campus, Ahmednagar","adsul's technical campus, ahmednagar","adsul's-technical-campus,-ahmednagar",institute
"Adusumalli Vijaya College of Engineering and Research Centre, Nalgonda","adusumalli vijaya college of engineering and research centre, nalgonda","adusumalli-vijaya-college-of-engineering-and-research-centre,-nalgonda",institute
"Adusumilli Vijaya Institute of Technology and Research Centre, Nalgonda","adusumilli vijaya institute of technology and research centre, nalgonda","adusumilli-vijaya-institute-of-technology-and-research-centre,-nalgonda",institute
"Advait Vedanta Institute of Technology, Jaipur","advait vedanta institute of technology, jaipur","advait-vedanta-institute-of-technology,-jaipur",institute
"Advanced College of Technology and Management, Palwal","advanced college of technology and management, palwal","advanced-college-of-technology-and-management,-palwal",institute
"Advanced Computer College, Osmanabad","advanced computer college, osmanabad","advanced-computer-college,-osmanabad",institute
"Advanced Institute of Technology and Management, Palwal","advanced institute of technology and management, palwal","advanced-institute-of-technology-and-management,-palwal",institute
"Advanced Plastics Processing Technology Centre, Balasore","advanced plastics processing technology centre, balasore","advanced-plastics-processing-technology-centre,-balasore",institute
