label,value,slug ,optionType
Film and Video Communication,film and video communication,film-and-video-communication,specialization
Finance,finance,finance,specialization
Financial Computing,financial computing,financial-computing,specialization
Financial Economics and Administration,financial economics and administration,financial-economics-and-administration,specialization
Financial Market,financial market,financial-market,specialization
Financial Mathematics,financial mathematics,financial-mathematics,specialization
First Aid,first aid,first-aid,specialization
Floriculture and Landscaping,floriculture and landscaping,floriculture-and-landscaping,specialization
Fluid Dynamics,fluid dynamics,fluid-dynamics,specialization
Food and Beverage Management,food and beverage management,food-and-beverage-management,specialization
Food Biotechnology,food biotechnology,food-biotechnology,specialization
Food Nutrition,food nutrition,food-nutrition,specialization
Food Process Engineering,food process engineering,food-process-engineering,specialization
Food Processing Technology,food processing technology,food-processing-technology,specialization
Food Production Management,food production management,food-production-management,specialization
Food Safety Management Systems,food safety management systems,food-safety-management-systems,specialization
Food Science and Nutrition,food science and nutrition,food-science-and-nutrition,specialization
Food Science and Quality Control,food science and quality control,food-science-and-quality-control,specialization
Food Science and Technology,food science and technology,food-science-and-technology,specialization
Food Technology,food technology,food-technology,specialization
Footware Technology,footware technology,footware-technology,specialization
Footwear Designs and Production,footwear designs and production,footwear-designs-and-production,specialization
Forensic Medicine,forensic medicine,forensic-medicine,specialization
Forensic Science and Criminology,forensic science and criminology,forensic-science-and-criminology,specialization
Forestry,forestry,forestry,specialization
Fruit Science,fruit science,fruit-science,specialization
Fundamentals of Nursing,fundamentals of nursing,fundamentals-of-nursing,specialization
Furniture and Interior Design,furniture and interior design,furniture-and-interior-design,specialization
Game Design and Development,game design and development,game-design-and-development,specialization
Garment Manufacturing Technology,garment manufacturing technology,garment-manufacturing-technology,specialization
Garment Production and Export Management,garment production and export management,garment-production-and-export-management,specialization
Gastroenterology,gastroenterology,gastroenterology,specialization
Genetics and Plant Breeding,genetics and plant breeding,genetics-and-plant-breeding,specialization
Genetics Engineering,genetics engineering,genetics-engineering,specialization
Genomics and Proteomics,genomics and proteomics,genomics-and-proteomics,specialization
Geo Informatics Engineering,geo informatics engineering,geo-informatics-engineering,specialization
Geo Sciences Engineering,geo sciences engineering,geo-sciences-engineering,specialization
Geo-Physics,geo-physics,geo-physics,specialization
Geography,geography,geography,specialization
Geoinformatics,geoinformatics,geoinformatics,specialization
Geological Sciences,geological sciences,geological-sciences,specialization
Geology,geology,geology,specialization
Geophysics,geophysics,geophysics,specialization
Geotechnical Engineering,geotechnical engineering,geotechnical-engineering,specialization
Geriatrics,geriatrics,geriatrics,specialization
Global Business,global business,global-business,specialization
Global Food Trends,global food trends,global-food-trends,specialization
Global Warming Reduction,global warming reduction,global-warming-reduction,specialization
Graphic Designing,graphic designing,graphic-designing,specialization
Green Business,green business,green-business,specialization
Green Technology,green technology,green-technology,specialization
Ground Staff and Cabin Crew Training,ground staff and cabin crew training,ground-staff-and-cabin-crew-training,specialization
Gynaecology,gynaecology,gynaecology,specialization
Habitat and Population Studies,habitat and population studies,habitat-and-population-studies,specialization
Hardware and Networking,hardware and networking,hardware-and-networking,specialization
Health Administration,health administration,health-administration,specialization
Health and Yoga Therapy,health and yoga therapy,health-and-yoga-therapy,specialization
Health Education and Communication Skills,health education and communication skills,health-education-and-communication-skills,specialization
Healthcare Management,healthcare management,healthcare-management,specialization
Herbal Science,herbal science,herbal-science,specialization
Hindi,hindi,hindi,specialization
History,history,history,specialization
Home Management,home management,home-management,specialization
Home Science,home science,home-science,specialization
Homeland Security,homeland security,homeland-security,specialization
Homeopathy,homeopathy,homeopathy,specialization
Horticulture,horticulture,horticulture,specialization
Hospital Administration,hospital administration,hospital-administration,specialization
Hospital and Healthcare,hospital and healthcare,hospital-and-healthcare,specialization
Hospitality Accounting,hospitality accounting,hospitality-accounting,specialization
Hospitality and Tourism Studies,hospitality and tourism studies,hospitality-and-tourism-studies,specialization
Hospitality Facility Planning,hospitality facility planning,hospitality-facility-planning,specialization
Hospitality Information Systems,hospitality information systems,hospitality-information-systems,specialization
Hospitality Marketing,hospitality marketing,hospitality-marketing,specialization
Hotel Management,hotel management,hotel-management,specialization
Housekeeping Operation,housekeeping operation,housekeeping-operation,specialization
Housing,housing,housing,specialization
Human Development,human development,human-development,specialization
Human Genetics,human genetics,human-genetics,specialization
Human Physiology,human physiology,human-physiology,specialization
Human Resources Management,human resources management,human-resources-management,specialization
Human Rights and International Law,human rights and international law,human-rights-and-international-law,specialization
Humanities and Management,humanities and management,humanities-and-management,specialization
Hydrochemistry,hydrochemistry,hydrochemistry,specialization
Hydrology,hydrology,hydrology,specialization
Illustration,illustration,illustration,specialization
Image Processing,image processing,image-processing,specialization
Immunology,immunology,immunology,specialization
Indian Heritage and Culture,indian heritage and culture,indian-heritage-and-culture,specialization
Indian Politics,indian politics,indian-politics,specialization
Industrial and Production Engineering,industrial and production engineering,industrial-and-production-engineering,specialization
Industrial Biotechnology,industrial biotechnology,industrial-biotechnology,specialization
Industrial Chemistry,industrial chemistry,industrial-chemistry,specialization
Industrial Design,industrial design,industrial-design,specialization
Industrial Engineering,industrial engineering,industrial-engineering,specialization
Industrial Mathematics,industrial mathematics,industrial-mathematics,specialization
Industrial Microbiology,industrial microbiology,industrial-microbiology,specialization
Industrial Safety Engineering,industrial safety engineering,industrial-safety-engineering,specialization
Infectious Diseases,infectious diseases,infectious-diseases,specialization
Information and Communication Technology,information and communication technology,information-and-communication-technology,specialization
Information Management,information management,information-management,specialization
Information Science and Engineering,information science and engineering,information-science-and-engineering,specialization
Information Security and Cyber Forensics,information security and cyber forensics,information-security-and-cyber-forensics,specialization
Information Security Management,information security management,information-security-management,specialization
Information Systems,information systems,information-systems,specialization
Information Technology,information technology,information-technology,specialization
Infrastructure Engineering,infrastructure engineering,infrastructure-engineering,specialization
Instrumentation and Control Engineering,instrumentation and control engineering,instrumentation-and-control-engineering,specialization
Instrumentation and Control Systems,instrumentation and control systems,instrumentation-and-control-systems,specialization
Instrumentation Engineering,instrumentation engineering,instrumentation-engineering,specialization
Integrated Biotechnology,integrated biotechnology,integrated-biotechnology,specialization
Intellectual Property Law,intellectual property law,intellectual-property-law,specialization
Interior Design,interior design,interior-design,specialization
International Business,international business,international-business,specialization
International Relations,international relations,international-relations,specialization
Interpretation of Statutes,interpretation of statutes,interpretation-of-statutes,specialization
Investment and Securities Law,investment and securities law,investment-and-securities-law,specialization
Investment Management,investment management,investment-management,specialization
Journalism and Mass Communication,journalism and mass communication,journalism-and-mass-communication,specialization
Jurisprudence,jurisprudence,jurisprudence,specialization
Kannada,kannada,kannada,specialization
Knitwear Design,knitwear design,knitwear-design,specialization
Labour Law,labour law,labour-law,specialization
Land Laws,land laws,land-laws,specialization
Landscape Architecture,landscape architecture,landscape-architecture,specialization
Law,law,law,specialization
Law of Contract,law of contract,law-of-contract,specialization
Law of Evidence,law of evidence,law-of-evidence,specialization
Law of Insurance,law of insurance,law-of-insurance,specialization
Law of Torts and Consumer Protection Act,law of torts and consumer protection act,law-of-torts-and-consumer-protection-act,specialization
Leather Design,leather design,leather-design,specialization
Leather Technology,leather technology,leather-technology,specialization
Legal Writing,legal writing,legal-writing,specialization
Life Science,life science,life-science,specialization
Lifestyle and Accessory Design,lifestyle and accessory design,lifestyle-and-accessory-design,specialization
Limnology and Fisheries,limnology and fisheries,limnology-and-fisheries,specialization
Linguistics,linguistics,linguistics,specialization
Machine Design,machine design,machine-design,specialization
Mainframe Technology,mainframe technology,mainframe-technology,specialization
Malayalam,malayalam,malayalam,specialization
Management Consulting,management consulting,management-consulting,specialization
Manufacturing and Management,manufacturing and management,manufacturing-and-management,specialization
Manufacturing Engineering,manufacturing engineering,manufacturing-engineering,specialization
Marine Biotechnology,marine biotechnology,marine-biotechnology,specialization
Marine Engineering,marine engineering,marine-engineering,specialization
Marine Geophysics,marine geophysics,marine-geophysics,specialization
Marine Medicine,marine medicine,marine-medicine,specialization
Marine Science,marine science,marine-science,specialization
Marketing,marketing,marketing,specialization
Mass Communication and Journalism,mass communication and journalism,mass-communication-and-journalism,specialization
Material Science and Engineering,material science and engineering,material-science-and-engineering,specialization
Material Science Engineering,material science engineering,material-science-engineering,specialization
Material Technology,material technology,material-technology,specialization
Materials Science,materials science,materials-science,specialization
Maternity Nursing,maternity nursing,maternity-nursing,specialization
Mathematical Ecology and Environment Studies,mathematical ecology and environment studies,mathematical-ecology-and-environment-studies,specialization
Mathematics,mathematics,mathematics,specialization
Mathematics and Computing,mathematics and computing,mathematics-and-computing,specialization
Mechanical Engineering,mechanical engineering,mechanical-engineering,specialization
Mechatronics Engineering,mechatronics engineering,mechatronics-engineering,specialization
Media Management,media management,media-management,specialization
Media Technology,media technology,media-technology,specialization
Medical Biochemistry,medical biochemistry,medical-biochemistry,specialization
Medical Biotechnology,medical biotechnology,medical-biotechnology,specialization
Medical Electronics,medical electronics,medical-electronics,specialization
Medical Gastroenterology,medical gastroenterology,medical-gastroenterology,specialization
Medical Genetics,medical genetics,medical-genetics,specialization
Medical Imaging Technology,medical imaging technology,medical-imaging-technology,specialization
Medical Microbiology,medical microbiology,medical-microbiology,specialization
Medical Oncology,medical oncology,medical-oncology,specialization
Medical Physics,medical physics,medical-physics,specialization
Medical Radiation Physics,medical radiation physics,medical-radiation-physics,specialization
Medical Surgical Nursing,medical surgical nursing,medical-surgical-nursing,specialization
Medical Technology,medical technology,medical-technology,specialization
Medicinal Plants,medicinal plants,medicinal-plants,specialization
Medicine,medicine,medicine,specialization
Mental Health,mental health,mental-health,specialization
Metallurgical Engineering,metallurgical engineering,metallurgical-engineering,specialization
Meteorology,meteorology,meteorology,specialization
