label,value,slug,optionType
Alfa Laval,alfa laval,alfa-laval,company
Alfaraa Infraprojects Private Limited,alfaraa infraprojects private limited,alfaraa-infraprojects-private-limited,company
Algoanalytics PrivateLimited,algoanalytics privatelimited,algoanalytics-privatelimited,company
Algoworks Technologies,algoworks technologies,algoworks-technologies,company
Alibaba.com,alibaba.com,alibaba.com,company
Alight Solutions,alight solutions,alight-solutions,company
Align Technology,align technology,align-technology,company
Alijarah Holding,alijarah holding,alijarah-holding,company
Alitech India LLP,alitech india llp,alitech-india-llp,company
Alkem Laboratories Limited,alkem laboratories limited,alkem-laboratories-limited,company
All Care Logistics Private Limited,all care logistics private limited,all-care-logistics-private-limited,company
Allahabad Bank,allahabad bank,allahabad-bank,company
Allana Group Of Companies,allana group of companies,allana-group-of-companies,company
Allcargo Logistics Limited,allcargo logistics limited,allcargo-logistics-limited,company
Allegheny Technologies,allegheny technologies,allegheny-technologies,company
Allegion India Private Limited,allegion india private limited,allegion-india-private-limited,company
Allegis Group,allegis group,allegis-group,company
Allengers Medical Systems,allengers medical systems,allengers-medical-systems,company
Allevard IAI Suspensions Private Limited,allevard iai suspensions private limited,allevard-iai-suspensions-private-limited,company
Alliance Data Systems,alliance data systems,alliance-data-systems,company
Alliance Insurance Brokers Private Limited,alliance insurance brokers private limited,alliance-insurance-brokers-private-limited,company
Alliance Web Solution Private Limited,alliance web solution private limited,alliance-web-solution-private-limited,company
Alliant Energy,alliant energy,alliant-energy,company
Allianz Technology,allianz technology,allianz-technology,company
Allied Analytics LLP,allied analytics llp,allied-analytics-llp,company
Allied Blenders & Distillers Private Limited,allied blenders & distillers private limited,allied-blenders-&-distillers-private-limited,company
Allied Digital Services Limited,allied digital services limited,allied-digital-services-limited,company
Allied Globetech LLP,allied globetech llp,allied-globetech-llp,company
Allied Nippon Limited,allied nippon limited,allied-nippon-limited,company
Allison Transmission Holdings,allison transmission holdings,allison-transmission-holdings,company
Allscripts India,allscripts india,allscripts-india,company
Allsec Technologies Limited,allsec technologies limited,allsec-technologies-limited,company
Allstate Solutions Private Limited,allstate solutions private limited,allstate-solutions-private-limited,company
Ally Financial,ally financial,ally-financial,company
AllyGrow Technologies Private Limited,allygrow technologies private limited,allygrow-technologies-private-limited,company
Alok and Bhawarlal Limited,alok and bhawarlal limited,alok-and-bhawarlal-limited,company
Alok Industries,alok industries,alok-industries,company
ALP Nishikawa Company Private Limited,alp nishikawa company private limited,alp-nishikawa-company-private-limited,company
Alpere Technologies,alpere technologies,alpere-technologies,company
Alpha Facility Services Private Limited,alpha facility services private limited,alpha-facility-services-private-limited,company
Alpha Maier Private Limited,alpha maier private limited,alpha-maier-private-limited,company
Alpha Metallurgical Resources,alpha metallurgical resources,alpha-metallurgical-resources,company
Alpha Serve technologies,alpha serve technologies,alpha-serve-technologies,company
"Alphard Maritime Group, Mumbai India","alphard maritime group, mumbai india","alphard-maritime-group,-mumbai-india",company
Alpro Private Limited,alpro private limited,alpro-private-limited,company
Alshaya Outsourcing Company India Private Limited,alshaya outsourcing company india private limited,alshaya-outsourcing-company-india-private-limited,company
Alshehhi Technologies Private Limited,alshehhi technologies private limited,alshehhi-technologies-private-limited,company
Alstom Projects India,alstom projects india,alstom-projects-india,company
Alstom Transport India Limited,alstom transport india limited,alstom-transport-india-limited,company
Alten Calsoftlabs India,alten calsoftlabs india,alten-calsoftlabs-india,company
Altico Capital India Private Limited,altico capital india private limited,altico-capital-india-private-limited,company
Altimetrik India Private Limited,altimetrik india private limited,altimetrik-india-private-limited,company
Altisource Business Solutions Private Limited,altisource business solutions private limited,altisource-business-solutions-private-limited,company
Altisource Technology,altisource technology,altisource-technology,company
Altius Customer Services Private Limited,altius customer services private limited,altius-customer-services-private-limited,company
Altos Global Services Private Limited,altos global services private limited,altos-global-services-private-limited,company
Altran Technologies,altran technologies,altran-technologies,company
Altria Group,altria group,altria-group,company
Alvarez and Marsal India,alvarez and marsal india,alvarez-and-marsal-india,company
Amadeus Labs,amadeus labs,amadeus-labs,company
Amagi Media Labs,amagi media labs,amagi-media-labs,company
Amara Raja group,amara raja group,amara-raja-group,company
Amara Raja Power Systems Private Limited,amara raja power systems private limited,amara-raja-power-systems-private-limited,company
Amarprakash Groups,amarprakash groups,amarprakash-groups,company
Amazon India Private Limited,amazon india private limited,amazon-india-private-limited,company
Ambalal Sarabhai Ent Limited,ambalal sarabhai ent limited,ambalal-sarabhai-ent-limited,company
Ambassador pallava,ambassador pallava,ambassador-pallava,company
